iter	Logloss
0	0.5968900936
1	0.5217814368
2	0.4648458083
3	0.4223809973
4	0.3886981147
5	0.3623777004
6	0.3425861396
7	0.3273340946
8	0.31566237
9	0.3065528877
10	0.2991637366
11	0.2934614089
12	0.2889873749
13	0.2854420318
14	0.2826329772
15	0.2804181788
16	0.2785576922
17	0.2771508641
18	0.2760163821
19	0.2750261363
20	0.2742108312
21	0.2735506519
22	0.2729358514
23	0.2724756055
24	0.2721251633
25	0.2717798191
26	0.2714998187
27	0.2712795049
28	0.271056897
29	0.2708931222
30	0.2707598315
31	0.2706210311
32	0.270529328
33	0.2704374443
34	0.270344597
35	0.2702432843
36	0.2701428282
37	0.2700469658
38	0.2699612758
39	0.2698978628
40	0.2698258691
41	0.2697628176
42	0.2696906577
43	0.2696439134
44	0.2696121325
45	0.2695659705
46	0.2695248648
47	0.2694713441
48	0.2694257733
49	0.2693954591
50	0.2693652741
51	0.2693185228
52	0.2692868917
53	0.2692526668
54	0.2692193436
55	0.2691888673
56	0.2691489448
57	0.269118742
58	0.2690840439
59	0.2690611231
60	0.2690232151
61	0.2689975008
62	0.2689687269
63	0.268927867
64	0.2688989473
65	0.268878592
66	0.2688463398
67	0.2688111387
68	0.2687802096
69	0.268756721
70	0.2687326105
71	0.2687112866
72	0.2686705831
73	0.2686399095
74	0.2686089772
75	0.2685864542
76	0.2685611151
77	0.2685407808
78	0.2685064201
79	0.2684743087
80	0.2684547868
81	0.2684286476
82	0.2684071178
83	0.2683800148
84	0.2683621612
85	0.2683364804
86	0.2683041643
87	0.2682871628
88	0.2682549328
89	0.2682341474
90	0.26821723
91	0.2681950916
92	0.2681682943
93	0.2681473005
94	0.2681170293
95	0.2680838216
96	0.2680635126
97	0.2680455765
98	0.2680213629
99	0.2679972667
100	0.2679611717
101	0.2679382309
102	0.2679254583
103	0.2679076285
104	0.267885185
105	0.267864981
106	0.267853218
107	0.2678328931
108	0.2678103538
109	0.2677929239
110	0.267786877
111	0.2677686992
112	0.2677557712
113	0.2677357776
114	0.2677204922
115	0.2676962377
116	0.2676823426
117	0.2676461909
118	0.2676289892
119	0.2675978935
120	0.2675829886
121	0.2675672632
122	0.2675452696
123	0.2675267382
124	0.2675044213
125	0.2674845032
126	0.2674579058
127	0.2674250216
128	0.2673867048
129	0.2673674373
130	0.2673493677
131	0.267316249
132	0.2672996129
133	0.2672736751
134	0.2672546702
135	0.2672314142
136	0.2672111374
137	0.2671993604
138	0.2671689371
139	0.2671470214
140	0.2671317862
141	0.2671184218
142	0.2671030196
143	0.2670873548
144	0.2670666692
145	0.2670446588
146	0.2670175108
147	0.2670063092
148	0.2669869099
149	0.2669661832
150	0.2669500505
151	0.2669336732
152	0.2669155403
153	0.2668934932
154	0.2668791098
155	0.2668617103
156	0.266848788
157	0.2668247487
158	0.2668012616
159	0.2667908234
160	0.2667818151
161	0.2667639486
162	0.2667408826
163	0.2667183857
164	0.2666943036
165	0.2666798012
166	0.2666558061
167	0.2666413574
168	0.2666148825
169	0.2665977322
170	0.2665723652
171	0.2665506542
172	0.2665283739
173	0.2665172372
174	0.266499072
175	0.2664628781
176	0.2664323174
177	0.2664091489
178	0.2663820802
179	0.2663644404
180	0.2663418114
181	0.266326528
182	0.266308287
183	0.2662526793
184	0.266222459
185	0.2662107723
186	0.2661893222
187	0.2661558541
188	0.2661356858
189	0.266104681
190	0.266070229
191	0.2660521586
192	0.2660310629
193	0.2660080573
194	0.2659820069
195	0.2659570153
196	0.2659401476
197	0.2659153622
198	0.2659023476
199	0.2658809814
