iter	Passed	Remaining
0	86	8592
1	137	6719
2	171	5559
3	192	4610
4	211	4020
5	231	3625
6	249	3318
7	268	3090
8	286	2897
9	302	2723
10	321	2601
11	340	2499
12	360	2410
13	382	2349
14	400	2271
15	418	2198
16	438	2143
17	458	2089
18	475	2027
19	492	1970
20	510	1918
21	530	1880
22	552	1848
23	575	1823
24	596	1790
25	618	1761
26	642	1736
27	659	1695
28	676	1657
29	694	1620
30	712	1585
31	753	1601
32	795	1614
33	836	1624
34	862	1602
35	904	1608
36	936	1595
37	962	1570
38	988	1546
39	1011	1517
40	1033	1486
41	1055	1457
42	1077	1428
43	1103	1404
44	1123	1373
45	1148	1348
46	1168	1317
47	1191	1290
48	1208	1258
49	1230	1230
50	1248	1199
51	1273	1175
52	1295	1149
53	1327	1131
54	1348	1103
55	1374	1080
56	1399	1055
57	1425	1032
58	1455	1011
59	1483	989
60	1512	966
61	1539	943
62	1567	920
63	1597	898
64	1628	877
65	1662	856
66	1694	834
67	1727	813
68	1758	789
69	1785	765
70	1808	738
71	1831	712
72	1850	684
73	1873	658
74	1891	630
75	1912	603
76	1929	576
77	1949	549
78	1973	524
79	1993	498
80	2016	473
81	2037	447
82	2061	422
83	2084	397
84	2105	371
85	2125	345
86	2145	320
87	2168	295
88	2189	270
89	2208	245
90	2230	220
91	2250	195
92	2268	170
93	2287	146
94	2305	121
95	2326	96
96	2344	72
97	2363	48
98	2384	24
99	2402	0
